date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:20	23560/23560	---M--	200	added ('OK')	font/woff2	date:Thu,%2027%20Jun%202024%2015:46:44%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e667.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=70bb22c7296586b6af1fdfea2a22c2d602177a0b7abd0ca614a1d4a9f8bccf96	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.83866c3eec90071fa974c17980ffb42977f9e6679a16.woff2	(from https://www.coralviu.com/)
17:23:20	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:22%20GMT	http://www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.25524241b12d864609c85325613d60efcf1a87e3.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=122bfae253c33563094122ad7e6dd54773a760ebb3ed8ca6febbe81bfd8ee734	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.25524241b12d864609c85325613d60efcf1a87e37d6f.woff	(from https://www.coralviu.com/)
17:23:20	23552/23552	---M--	200	added ('OK')	font/woff2	date:Thu,%2013%20Jun%202024%2006:19:49%20GMT	https://www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.25524241b12d864609c85325613d60efcf1a87e3.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=122bfae253c33563094122ad7e6dd54773a760ebb3ed8ca6febbe81bfd8ee734	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/montserrat/montserrat_i7.25524241b12d864609c85325613d60efcf1a87e37d6f.woff	(from https://www.coralviu.com/)
17:23:21	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:22%20GMT	http://www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.dad506a3882e5164bfe9de1e692965e333d21827.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=36b71cbc5e89cb1b4fc8e15e7dacbedacd4c110734a80b3e70296b25a450f7f1	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.dad506a3882e5164bfe9de1e692965e333d21827be9f.woff2	(from https://www.coralviu.com/)
17:23:21	22300/22300	---M--	200	added ('OK')	font/woff2	date:Sat,%2013%20Jul%202024%2017:07:04%20GMT	https://www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.dad506a3882e5164bfe9de1e692965e333d21827.woff2?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=36b71cbc5e89cb1b4fc8e15e7dacbedacd4c110734a80b3e70296b25a450f7f1	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.dad506a3882e5164bfe9de1e692965e333d21827be9f.woff2	(from https://www.coralviu.com/)
17:23:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:23%20GMT	http://www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.964e9266b21cebf7c2ad07e46604bd5196cdcf22.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=23cb63f1f2d61d45d61be0c131517a2be956567e977a7cb8c2caad77d388a358	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.964e9266b21cebf7c2ad07e46604bd5196cdcf22748c.woff	(from https://www.coralviu.com/)
17:23:22	22232/22232	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Jul%202024%2002:38:03%20GMT	https://www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.964e9266b21cebf7c2ad07e46604bd5196cdcf22.woff?h1=MzkxMzJjLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=Y29yYWx2aXUuY29t&hmac=23cb63f1f2d61d45d61be0c131517a2be956567e977a7cb8c2caad77d388a358	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/fonts/itc_novarese/itcnovarese_n4.964e9266b21cebf7c2ad07e46604bd5196cdcf22748c.woff	(from https://www.coralviu.com/)
17:23:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:24%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/base.css?v=116631182122228236731708099152	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/base0133.css	(from https://www.coralviu.com/)
17:23:23	65902/65902	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20Jul%202024%2022:35:12%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/base.css?v=116631182122228236731708099152	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/base0133.css	(from https://www.coralviu.com/)
17:23:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:25%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/component-localization-form.css?v=143319823105703127341702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/component-localization-formbc23.css	(from https://www.coralviu.com/)
17:23:24	5832/5832	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202024%2018:57:54%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/component-localization-form.css?v=143319823105703127341702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/component-localization-formbc23.css	(from https://www.coralviu.com/)
17:23:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:26%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/localization-form.js?v=161644695336821385561702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/localization-form077d.js	(from https://www.coralviu.com/)
17:23:24	1618/1618	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2025%20Jun%202024%2011:21:44%20GMT	https://www.coralviu.com/cdn/shop/t/2/assets/localization-form.js?v=161644695336821385561702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/localization-form077d.js	(from https://www.coralviu.com/)
17:23:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202024%2015:23:26%20GMT	http://www.coralviu.com/cdn/shop/t/2/assets/component-predictive-search.css?v=118923337488134913561702809059	C:/Mis%20lugares%20Web/Coral%20Viu/www.coralviu.com/cdn/shop/t/2/assets/component-predictive-searchfb07.css	(from https://www.coralviu.com/)
